Name,Group Number,Day,Dates,Start Time,End Time,Location,Type,Teacher
GEL7016-Hiver2024-A,0,Lundi,Du 15 jan. 2024 au 26 avr. 2024,12h30,15h20,Adrien-Pouliot 0103,Laboratoire,N/A
GEL7016-Hiver2022-B,0,Lundi,Du 10 jan. 2022 au 22 avr. 2022,12h30,15h20,Adrien-Pouliot 0105,Laboratoire,N/A
GEL7017-Hiver2024-A,0,Jeudi,Du 15 jan. 2024 au 26 avr. 2024,8h30,11h20,Adrien-Pouliot 2512,En classe,N/A
GEL7017-Hiver2023-B,0,Jeudi,Du 10 jan. 2023 au 21 avr. 2023,8h30,11h20,Adrien-Pouliot 2903,En classe,N/A
GEL7019-Hiver2024-A,0,Mercredi,Du 15 jan. 2024 au 26 avr. 2024,10h30,11h20,Adrien-Pouliot 2508,En classe,N/A
GEL7019-Hiver2023-B,0,Mercredi,Du 10 jan. 2023 au 21 avr. 2023,10h30,11h20,Adrien-Pouliot 4108,En classe,N/A
GEL7020-Hiver2024-A,0,Vendredi,Du 15 jan. 2024 au 26 avr. 2024,8h30,11h20,Adrien-Pouliot 2508,En classe,N/A
GEL7020-Hiver2024-A,0,Mardi,Du 15 jan. 2024 au 26 avr. 2024,8h30,11h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL7020-Hiver2023-C,0,Vendredi,Du 10 jan. 2023 au 21 avr. 2023,8h30,11h20,Adrien-Pouliot 2903,En classe,N/A
GEL7020-Hiver2023-C,0,Mardi,Du 10 jan. 2023 au 21 avr. 2023,8h30,11h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL7021-Hiver2021-A,0,Mercredi,Du 18 jan. 2021 au 23 avr. 2021,15h30,18h20,N/A,Classe virtuelle synchrone,N/A
GEL7021-Automne2015-B,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GEL7022-Hiver2024-A,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Lectures dirigées,N/A
GEL7022-Hiver2023-B,0,N/A,Du 10 jan. 2023 au 21 avr. 2023,N/A,N/A,N/A,Lectures dirigées,N/A
GEL7028-Hiver2022-A,0,N/A,Du 10 jan. 2022 au 22 avr. 2022,N/A,N/A,N/A,Lectures dirigées,N/A
GEL7028-Automne2021-B,0,N/A,Du 30 août 2021 au 10 déc. 2021,N/A,N/A,N/A,Lectures dirigées,N/A
GEL7029-Automne2021-A,0,N/A,Du 30 août 2021 au 10 déc. 2021,N/A,N/A,N/A,Lectures dirigées,N/A
